tsne1,tsne2,tsne3,class
-52.44301,-68.2154,0.9847264,food
45.938858,5.423913,65.53334,inside
86.49507,17.928577,-35.779526,inside
-79.14864,-64.95804,-14.296187,food
-3.677378,-54.458763,10.09217,food
-45.66292,-92.482185,-30.480404,food
-12.044537,-65.650734,-50.870277,food
-12.911009,0.04530199,-79.22146,food
-13.04802,-55.458374,-2.9331114,food
0.9161282,50.60091,-24.732248,inside
-16.658016,-95.87203,-18.35439,food
-18.284243,-77.37994,43.778835,food
-58.22018,-79.251816,26.057312,food
74.68796,-30.277754,-48.557697,drink
58.079723,-57.583424,-29.556894,drink
-33.882774,20.223244,-9.464607,food
-29.618856,-92.07534,43.769737,food
76.45145,-17.451382,22.06174,drink
54.319717,34.57482,21.616987,inside
-17.47524,20.126085,12.041745,inside
-23.930742,-104.38706,-32.192654,food
7.0359817,83.01785,-20.260843,outside
20.029442,-46.65785,63.78617,drink
-26.692875,-83.02442,40.534,food
-31.450176,-76.8699,-18.703844,food
32.36849,18.446903,-26.967905,inside
-15.553127,-84.51807,-50.79061,food
-29.555862,-34.36236,2.9260092,food
8.562198,-90.07325,-32.584183,food
11.227253,94.970474,24.33812,outside
-17.271513,-3.1732507,17.56044,inside
-29.405281,39.32719,-23.302387,inside
90.76628,-16.479195,3.9607432,drink
62.01336,-23.328726,-14.488348,drink
-35.288563,-10.017105,-78.41295,inside
47.08748,-92.59161,4.3480477,drink
89.87479,28.323414,-24.278841,inside
-55.65195,-47.019302,-1.7355562,food
-26.748806,-70.86832,14.404628,food
-38.579685,-35.212166,-8.607447,food
2.0169823,-4.907072,-35.550625,inside
48.97127,58.76841,-10.189257,outside
15.176515,-80.74461,7.185945,food
-41.0784,-37.41858,-16.85445,food
-72.791046,-53.477077,27.473665,food
-88.74009,-76.78845,-8.880651,food
-9.026519,39.548717,-64.76825,inside
-28.631186,-82.186035,2.0430279,food
-30.442942,-79.80821,20.12179,food
50.558285,45.009823,44.449627,inside
36.747063,102.292244,-47.177124,outside
-14.55422,57.525646,-45.736946,outside
3.777267,78.62426,24.04786,outside
-8.615003,-31.497381,-96.933846,food
36.361988,35.754856,9.519575,inside
-1.913968,-75.04817,7.973381,drink
82.02935,-63.64481,-19.20101,drink
-0.9511037,-55.055496,-27.768864,food
52.373188,-54.873417,34.41883,drink
2.2057154,42.11053,10.968478,inside
50.817036,-14.593382,-23.029419,drink
-58.844467,63.241596,-35.57852,inside
36.760563,-89.5531,-8.083233,food
19.632746,-41.764603,10.156894,drink
-27.128046,-63.541306,-0.58730185,food
-33.62108,-97.696236,-17.227373,food
-39.250942,-64.72727,41.91203,food
7.573316,-55.82829,-23.468458,food
-53.865032,-123.50938,25.865587,food
-20.041565,-41.097755,-54.82952,inside
-47.924873,37.579792,-4.53973,inside
58.949493,31.969059,34.316532,food
-41.6965,2.6005592,-18.851082,food
-15.9436,-108.55441,25.393784,food
-18.166885,-94.21558,4.010612,food
-22.919285,-124.21839,10.733923,food
-11.990146,-107.50512,17.807152,food
-35.657112,-44.649998,-53.3797,food
23.345568,-102.13009,9.912611,food
20.451511,120.50242,-19.89914,inside
-58.776855,-41.675167,-10.175935,food
-40.045815,-91.91907,-10.96016,food
-70.40456,-68.75184,-5.2032337,food
38.467556,61.565334,55.421898,inside
-17.638556,3.9658911,-8.595486,inside
15.489245,-57.531334,-29.795944,food
-72.361565,-99.06979,-10.450981,food
-67.7172,-16.427908,1.0972699,menu
13.048492,29.183771,-48.13033,inside
34.090385,41.582832,-65.65251,inside
-37.588642,-16.06507,2.1802814,food
-57.89376,-93.24878,28.448116,food
6.6876216,-64.16096,-60.87799,food
-67.26177,-120.94524,20.124329,food
-12.871243,-53.293003,-48.33199,food
42.793087,80.23194,-14.21507,inside
-44.99563,-125.049255,19.052053,food
85.492165,21.357489,-5.4709697,inside
-44.9481,38.2733,-16.343262,inside
-1.5471631,3.8264537,30.575418,drink
-66.72199,-67.9855,-24.43634,food
21.226397,101.80466,-6.0138555,outside
-26.88856,-61.34359,-15.278942,food
-49.478973,-69.307014,-36.756588,food
12.213043,22.871218,-38.29882,inside
-19.022781,-77.120705,23.333433,food
-4.2928977,-96.049995,-18.832886,food
-11.174395,-56.725853,-24.485485,food
-54.7537,-72.20401,-16.83726,food
5.5394454,-80.91826,-34.33651,food
-61.551723,-79.28189,-37.36427,food
-25.404182,13.6462,4.9142985,inside
-50.73704,-119.8446,-3.408554,food
-32.83487,11.509573,-49.634487,inside
7.7430573,-46.75266,-21.63068,food
-25.33864,-51.458267,-50.750526,food
-83.16754,48.46181,-30.874504,outside
-29.71379,9.202595,-37.558117,drink
-18.419918,80.28959,-38.276516,outside
-44.11818,-86.63819,-36.205093,food
-2.178654,22.024551,-15.220303,inside
-12.731549,-80.270294,-8.317127,food
-51.795227,-98.63383,-23.29269,food
-86.64646,-98.02672,5.734527,food
67.17378,-17.40975,52.803223,drink
-3.807426,-75.61046,-31.049812,food
-35.66068,-62.012577,-34.932915,food
64.12687,-2.7254236,-26.240395,drink
-56.36246,34.7054,4.8111777,inside
-30.23836,-44.207317,-26.105381,food
-55.07708,-90.40916,-9.204943,food
-81.852104,-102.83808,9.22357,food
-49.057693,-34.027508,-30.925879,food
-60.9697,-69.4405,-8.529787,food
26.252213,44.320774,9.724321,inside
76.122955,70.84289,-2.0871806,inside
-36.65178,30.686552,10.243368,inside
-21.693739,-80.79567,-13.172401,food
-34.225197,39.64865,-43.984856,inside
80.72822,-2.310235,31.429129,drink
-71.319496,-60.938442,-27.124952,food
-43.320927,31.18562,-32.8509,drink
-29.064653,69.98424,-14.840185,outside
53.707943,96.26531,-27.203667,outside
-24.052128,-48.935287,24.924507,food
-34.412785,52.50902,-25.789814,inside
13.360506,-80.37962,-40.6588,food
17.198637,-97.44213,-22.894712,food
70.315636,-23.668789,57.40122,drink
50.498173,30.572834,-18.858997,inside
37.468956,11.322819,-34.62463,inside
-59.590046,-103.32625,-18.824532,food
-32.552563,35.25769,-53.87048,inside
55.77548,-59.25646,44.928406,food
-8.607264,-75.44976,16.862446,food
0.4737297,-18.366236,36.09923,drink
78.3307,26.099222,41.12952,drink
-30.588549,-69.5458,-58.083916,food
-1.8678771,-27.806349,12.710643,inside
-16.46937,-44.95191,20.986336,food
23.097195,-87.25064,-22.096403,food
1.6471142,-11.352188,26.944498,outside
-5.333822,-116.22703,-10.27307,food
24.962833,20.152256,-14.250185,outside
30.197132,40.0483,-42.980057,inside
61.62731,-31.095652,6.2745347,drink
-24.494207,-54.555977,-3.5901253,food
-3.3619921,-78.40356,-2.96368,food
7.6510673,-5.1694283,-12.797499,inside
-59.42686,45.072487,63.341423,menu
-0.8275063,-27.76491,1.5195072,drink
9.263962,68.2247,-26.002594,inside
-49.267788,-83.325134,9.865063,food
47.32647,-86.75614,-26.98337,food
-3.4200294,-114.314384,0.83056015,food
-45.594902,-106.90385,-19.662903,food
-34.781494,-48.58393,10.374508,food
-25.960432,42.52575,-13.864091,inside
-7.9840927,-111.7138,32.609844,food
5.577033,-77.69231,-46.772797,food
85.64372,46.306595,-5.097254,inside
-12.325292,-57.71199,-38.662582,food
25.67517,57.51462,-22.356106,inside
-34.21409,22.599874,-50.272396,inside
-66.68103,-93.03732,11.04619,food
44.784405,56.25637,18.889893,inside
3.6703908,26.5016,27.851042,inside
-17.15399,-97.90167,32.103558,food
-59.338013,-99.55038,-35.56527,food
-24.56843,44.340824,-57.53345,inside
-10.974158,33.379513,21.785183,inside
29.125023,20.015957,-51.13376,inside
9.492274,-73.02923,-53.099445,food
0.69140655,36.4082,-27.710627,inside
69.9051,-25.474468,-37.843143,drink
-44.650204,-59.23562,-11.407208,food
8.213424,-21.678915,-85.623695,food
15.994954,-59.521137,-7.197109,food
-4.8460484,26.230988,-52.65999,inside
-56.22819,-66.91993,42.56561,food
3.897277,-13.990969,4.3362913,inside
1.0051805,31.73386,15.694374,inside
-0.16928329,4.2099676,39.243477,inside
25.484814,18.385351,-3.6980505,inside
54.696655,-87.44972,-2.3563778,drink
-66.97185,-90.93673,29.257208,food
-79.07969,69.77669,18.298222,food
15.528249,5.947383,-68.00683,inside
27.14455,14.48785,-70.91678,inside
1.4553632,29.881159,-1.9052855,inside
-8.779521,-98.63627,19.681293,food
-40.40641,-85.94412,25.28785,food
87.835556,33.368816,-7.2414875,outside
